"id"	"hr"	"datetime"	"time"	"trl_no"	"blk_no"	"cd_so"	"cd_fr"	"img"	"rslt"	"rate"	"rt"	"r_ans"	"angle"	"end_spin"	"t_now"	"AQ"	"TAS"	"DDF"	"DIF"	"EOT"	"EC"	"PT"	"TheOutcome"	"Gain"	"PE"
"30"	"09_A"	86	"31-May-2019 11:08:13"	13611.338	30	5	1	1	"wheel_04"	"3"	58.2418	3110.9062	1	762.5149	30	13619.4574	23	51	14	18	19	17	15	-0.83	0	0.83
"31"	"09_A"	86	"31-May-2019 11:08:28"	13625.6475	31	6	2	2	"wheel_09"	"3"	43.7729	2821.5397	1	876.1239	144	13633.4579	23	51	14	18	19	17	15	1	0	-1
"32"	"09_A"	86	"31-May-2019 11:08:38"	13635.6199	32	6	2	2	"wheel_11"	"2"	28.022	1950.9337	1	830.1916	108	13642.5373	23	51	14	18	19	17	15	2	-5	-7
"33"	"09_A"	86	"31-May-2019 11:08:48"	13645.5927	33	6	2	2	"wheel_10"	"1"	58.7912	2298.8926	1	916.2721	210	13652.8919	23	51	14	18	19	17	15	0.83	5	4.17
"34"	"09_A"	86	"31-May-2019 11:08:58"	13655.567	34	6	2	2	"wheel_06"	"3"	50	688.0309	1	872.5004	150	13661.2186	23	51	14	18	19	17	15	-0.83	0	0.83
"35"	"09_A"	86	"31-May-2019 11:09:08"	13665.5426	35	6	2	2	"wheel_12"	"3"	40.1099	1274.1392	1	1020.3792	300	13671.8097	23	51	14	18	19	17	15	1.67	0	-1.67
"36"	"09_A"	86	"31-May-2019 11:09:19"	13676.5145	36	6	2	2	"wheel_08"	"2"	26.1905	1553.4394	1	940.6671	216	13683.0325	23	51	14	18	19	17	15	0	-5	-5
"37"	"09_A"	86	"31-May-2019 11:09:33"	13690.8088	37	7	1	1	"wheel_01"	"3"	43.2234	2182.002	1	806.589	72	13697.9968	23	51	14	18	19	17	15	-1	0	1
"38"	"09_A"	86	"31-May-2019 11:09:43"	13700.7741	38	7	1	1	"wheel_08"	"1"	63.5531	1303.8773	1	799.9431	72	13707.0393	23	51	14	18	19	17	15	0	5	5
"39"	"09_A"	86	"31-May-2019 11:09:53"	13710.7389	39	7	1	1	"wheel_10"	"3"	39.9267	3187.7241	1	1050.1645	330	13718.8832	23	51	14	18	19	17	15	0.83	0	-0.83
"40"	"09_A"	86	"31-May-2019 11:10:03"	13720.7036	40	7	1	1	"wheel_11"	"2"	18.8645	2398.9118	1	830.8502	108	13728.1142	23	51	14	18	19	17	15	2	-5	-7
"41"	"09_A"	86	"31-May-2019 11:10:13"	13730.6702	41	7	1	1	"wheel_12"	"1"	56.7766	1211.0999	1	816.2898	90	13736.839	23	51	14	18	19	17	15	1.67	5	3.33
"42"	"09_A"	86	"31-May-2019 11:10:24"	13741.6389	42	7	1	1	"wheel_07"	"3"	56.4103	3576.2351	1	1001.3561	270	13750.1731	23	51	14	18	19	17	15	0.83	0	-0.83
"43"	"09_A"	86	"31-May-2019 11:10:38"	13755.9201	43	8	2	2	"wheel_03"	"2"	47.4359	1784.8923	1	820.1977	90	13762.6607	23	51	14	18	19	17	15	-1.67	-5	-3.33
"44"	"09_A"	86	"31-May-2019 11:10:48"	13765.8806	44	8	2	2	"wheel_06"	"1"	78.2051	3625.1376	1	763.2396	30	13774.5133	23	51	14	18	19	17	15	-0.83	5	5.83
"45"	"09_A"	86	"31-May-2019 11:10:58"	13775.8505	45	8	2	2	"wheel_09"	"2"	22.7106	2029.5363	1	759.378	36	13782.8347	23	51	14	18	19	17	15	1	-5	-6
"46"	"09_A"	86	"31-May-2019 11:11:08"	13785.8129	46	8	2	2	"wheel_05"	"2"	14.8352	2278.8072	1	1032.3071	324	13793.0659	23	51	14	18	19	17	15	0	-5	-5
"47"	"09_A"	86	"31-May-2019 11:11:18"	13795.7766	47	8	2	2	"wheel_02"	"1"	78.9377	2308.5084	1	756.6374	36	13803.0483	23	51	14	18	19	17	15	-2	5	7
"48"	"09_A"	86	"31-May-2019 11:11:29"	13806.7494	48	8	2	2	"wheel_04"	"3"	49.0842	5002.1078	0	759.3583	30	13816.7137	23	51	14	18	19	17	15	-0.83	0	0.83
"49"	"09_A"	86	"31-May-2019 11:11:43"	13821.0476	49	9	1	2	"wheel_11"	"2"	18.1319	2343.3863	1	823.9936	108	13828.3498	23	51	14	18	19	17	15	2	-5	-7
"50"	"09_A"	86	"31-May-2019 11:11:53"	13831.0124	50	9	1	2	"wheel_12"	"3"	43.2234	2299.1104	1	1008.1706	300	13838.314	23	51	14	18	19	17	15	1.67	0	-1.67
"51"	"09_A"	86	"31-May-2019 11:12:03"	13840.9713	51	9	1	2	"wheel_10"	"1"	62.0879	1460.0458	1	938.9192	210	13847.388	23	51	14	18	19	17	15	0.83	5	4.17
"52"	"09_A"	86	"31-May-2019 11:12:13"	13850.9384	52	9	1	2	"wheel_08"	"2"	28.2051	2525.3921	1	949.3705	216	13858.475	23	51	14	18	19	17	15	0	-5	-5
"53"	"09_A"	86	"31-May-2019 11:12:23"	13860.9041	53	9	1	2	"wheel_06"	"3"	36.63	972.4731	1	860.1276	150	13866.8721	23	51	14	18	19	17	15	-0.83	0	0.83
"54"	"09_A"	86	"31-May-2019 11:12:34"	13871.8699	54	9	1	2	"wheel_09"	"3"	26.0073	1816.5288	1	876.393	144	13878.7028	23	51	14	18	19	17	15	1	0	-1
"55"	"09_A"	86	"31-May-2019 11:12:48"	13886.1576	55	10	2	2	"wheel_03"	"1"	74.1758	2228.678	1	1047.2532	330	13893.3693	23	51	14	18	19	17	15	-1.67	5	6.67
"56"	"09_A"	86	"31-May-2019 11:12:58"	13896.1333	56	10	2	2	"wheel_07"	"2"	17.033	3907.9407	1	751.7206	30	13905.0739	23	51	14	18	19	17	15	0.83	-5	-5.83
"57"	"09_A"	86	"31-May-2019 11:13:08"	13906.1046	57	10	2	2	"wheel_11"	"3"	50	5019.5749	0	746.6491	36	13916.0739	23	51	14	18	19	17	15	2	0	-2
"58"	"09_A"	86	"31-May-2019 11:13:18"	13916.0943	58	10	2	2	"wheel_09"	"1"	63.5531	3186.8334	1	1002.6578	288	13924.2537	23	51	14	18	19	17	15	1	5	4
"59"	"09_A"	86	"31-May-2019 11:13:28"	13926.0607	59	10	2	2	"wheel_08"	"3"	55.6777	2616.8652	1	1032.9786	324	13933.6631	23	51	14	18	19	17	15	0	0	0
"60"	"09_A"	86	"31-May-2019 11:13:39"	13937.0279	60	10	2	2	"wheel_12"	"1"	63.0037	1755.8905	1	798.7916	90	13943.7505	23	51	14	18	19	17	15	1.67	5	3.33
"61"	"09_A"	86	"31-May-2019 11:13:53"	13951.327	61	11	1	1	"wheel_04"	"1"	67.2161	2082.5069	1	1012.1452	300	13958.4293	23	51	14	18	19	17	15	-0.83	5	5.83
"62"	"09_A"	86	"31-May-2019 11:14:03"	13961.2942	62	11	1	1	"wheel_05"	"2"	30.0366	2052.6897	1	1055.9476	324	13968.3378	23	51	14	18	19	17	15	0	-5	-5
"63"	"09_A"	86	"31-May-2019 11:14:13"	13971.2521	63	11	1	1	"wheel_03"	"3"	62.0879	3338.0557	1	959.24	240	13979.5751	23	51	14	18	19	17	15	-1.67	0	1.67
"64"	"09_A"	86	"31-May-2019 11:14:23"	13981.2182	64	11	1	1	"wheel_07"	"1"	71.4286	1362.2846	1	833.5773	120	13987.5525	23	51	14	18	19	17	15	0.83	5	4.17
"65"	"09_A"	86	"31-May-2019 11:14:33"	13991.1857	65	11	1	1	"wheel_01"	"1"	71.978	1434.8252	1	913.0389	180	13997.6079	23	51	14	18	19	17	15	-1	5	6
